action,id,display_name,canonical_name,muscle,equipment,archetype,cameron_sets,cameron_workouts,last_used,proposed_canonical,notes
hide,seed-Barbell_Incline_Bench_Press_-_Medium_Grip,,barbell incline bench press - medium grip,chest,barbell,incline_press,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Incline_Shoulder_Raise,,barbell incline shoulder raise,shoulders,barbell,y_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Lunge,,barbell lunge,quadriceps,barbell,lunge,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Rear_Delt_Row,,barbell rear delt row,shoulders,barbell,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Rollout_from_Bench,,barbell rollout from bench,abdominals,barbell,ab_rollout,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Seated_Calf_Raise,,barbell seated calf raise,calves,barbell,seated_calf_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Shoulder_Press,,barbell shoulder press,shoulders,barbell,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Shrug,,barbell shrug,traps,barbell,shrug,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Shrug_Behind_The_Back,,barbell shrug behind the back,traps,barbell,shrug,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Side_Bend,,barbell side bend,abdominals,barbell,russian_twist,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Side_Split_Squat,,barbell side split squat,quadriceps,barbell,split_squat,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Squat,,barbell squat,quadriceps,barbell,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Squat_To_A_Bench,,barbell squat to a bench,quadriceps,barbell,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Step_Ups,,barbell step ups,quadriceps,barbell,step_up,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Walking_Lunge,,barbell walking lunge,quadriceps,barbell,lunge,0,0,,,unused by Cameron and not a staple
hide,seed-Battling_Ropes,,battling ropes,shoulders,other,battle_ropes,0,0,,,unused by Cameron and not a staple
hide,seed-Bear_Crawl_Sled_Drags,,bear crawl sled drags,quadriceps,other,sled_push_pull,0,0,,,niche/unused category
hide,seed-Behind_Head_Chest_Stretch,,behind head chest stretch,chest,other,push_up,0,0,,,stretch/SMR row
hide,seed-Bench_Dips,,bench dips,triceps,body only,triceps_dip,0,0,,,unused by Cameron and not a staple
hide,seed-Bench_Jump,,bench jump,quadriceps,body only,box_jump,0,0,,,niche/unused category
hide,seed-Bench_Press_-_Powerlifting,,bench press - powerlifting,triceps,barbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Bench_Press_-_With_Bands,,bench press - with bands,chest,bands,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Bench_Press_with_Chains,,bench press with chains,triceps,barbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Bench_Sprint,,bench sprint,quadriceps,other,running,0,0,,,niche/unused category
hide,seed-Bent-Arm_Barbell_Pullover,,bent-arm barbell pullover,lats,barbell,chest_pullover,0,0,,,unused by Cameron and not a staple
hide,seed-Bent-Knee_Hip_Raise,,bent-knee hip raise,abdominals,body only,hanging_leg_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_Barbell_Row,,bent over barbell row,middle back,barbell,bent_over_row,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,,bent over dumbbell rear delt raise with head on bench,shoulders,dumbbell,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_Low-Pulley_Side_Lateral,,bent over low-pulley side lateral,shoulders,cable,lateral_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_One-Arm_Long_Bar_Row,,bent over one-arm long bar row,middle back,barbell,single_arm_row,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_Two-Arm_Long_Bar_Row,,bent over two-arm long bar row,middle back,barbell,bent_over_row,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_Two-Dumbbell_Row,,bent over two-dumbbell row,middle back,dumbbell,single_arm_row,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Over_Two-Dumbbell_Row_With_Palms_In,,bent over two-dumbbell row with palms in,middle back,dumbbell,single_arm_row,0,0,,,unused by Cameron and not a staple
hide,seed-Bent_Press,,bent press,abdominals,kettlebells,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Bicycling,,bicycling,quadriceps,other,cycling,0,0,,,unused by Cameron and not a staple
hide,seed-Bicycling_Stationary,,"bicycling, stationary",quadriceps,machine,cycling,0,0,,,unused by Cameron and not a staple
hide,seed-Board_Press,,board press,triceps,barbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Body-Up,,body-up,triceps,body only,push_up,0,0,,,unused by Cameron and not a staple
hide,seed-Body_Tricep_Press,,body tricep press,triceps,body only,push_up,0,0,,,unused by Cameron and not a staple
hide,seed-Bodyweight_Flyes,,bodyweight flyes,chest,e-z curl bar,chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Bodyweight_Mid_Row,,bodyweight mid row,middle back,other,inverted_row,0,0,,,unused by Cameron and not a staple
hide,seed-Bodyweight_Squat,,bodyweight squat,quadriceps,body only,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Bodyweight_Walking_Lunge,,bodyweight walking lunge,quadriceps,,lunge,0,0,,,unused by Cameron and not a staple
hide,seed-Bosu_Ball_Cable_Crunch_With_Side_Bends,,bosu ball cable crunch with side bends,abdominals,cable,cable_crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Bottoms-Up_Clean_From_The_Hang_Position,,bottoms-up clean from the hang position,forearms,kettlebells,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Bottoms_Up,,bottoms up,abdominals,body only,running,0,0,,,unused by Cameron and not a staple
hide,seed-Box_Jump_Multiple_Response,,box jump (multiple response),hamstrings,other,box_jump,0,0,,,niche/unused category
hide,seed-Box_Skip,,box skip,hamstrings,other,box_jump,0,0,,,niche/unused category
hide,seed-Box_Squat,,box squat,quadriceps,barbell,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Box_Squat_with_Bands,,box squat with bands,quadriceps,barbell,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Box_Squat_with_Chains,,box squat with chains,quadriceps,barbell,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Brachialis-SMR,,brachialis-smr,biceps,foam roll,biceps_curl,0,0,,,stretch/SMR row
hide,seed-Bradford_Rocky_Presses,,bradford/rocky presses,shoulders,barbell,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Butt-Ups,,butt-ups,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Butt_Lift_Bridge,,butt lift (bridge),glutes,body only,hip_thrust,0,0,,,unused by Cameron and not a staple
hide,seed-Butterfly,,butterfly,chest,machine,chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Chest_Press,,cable chest press,chest,cable,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Crunch,,cable crunch,abdominals,cable,cable_crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Deadlifts,,cable deadlifts,quadriceps,cable,deadlift,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Hammer_Curls_-_Rope_Attachment,,cable hammer curls - rope attachment,biceps,cable,hammer_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Hip_Adduction,,cable hip adduction,quadriceps,cable,hip_adduction,0,0,,,unused by Cameron and not a staple
